id region tribe metal denomination
000124 East_England Corieltauvi silver unit
000125 East_England Corieltauvi silver halfunit
000126 East_England Corieltauvi silver halfunit
000127 East_England Corieltauvi silver halfunit
000128 East_England Corieltauvi silver halfunit
000162 East_England Corieltauvi silver unit
000163 East_England Corieltauvi silver unit
000164 East_England Corieltauvi silver unit
000165 East_England Corieltauvi silver unit
000166 East_England Corieltauvi silver unit
000167 East_England Corieltauvi silver unit
000168 East_England Corieltauvi silver unit
000169 East_England Corieltauvi silver unit
000170 East_England Corieltauvi silver unit
000171 East_England Corieltauvi silver unit
000172 East_England Corieltauvi silver unit
000173 East_England Corieltauvi silver unit
000175 East_England Corieltauvi silver unit
000176 East_England Corieltauvi silver unit
000177 East_England Corieltauvi silver unit
000178 East_England Corieltauvi silver unit
000179 East_England Corieltauvi silver unit
000180 East_England Corieltauvi silver unit
000181 East_England Corieltauvi silver unit
000182 East_England Corieltauvi silver unit
000183 East_England Corieltauvi silver unit
000184 East_England Corieltauvi silver unit
000185 East_England Corieltauvi silver unit
000186 East_England Corieltauvi silver unit
000187 East_England Corieltauvi silver unit
000188 East_England Corieltauvi silver unit
000189 East_England Corieltauvi silver unit
000190 East_England Corieltauvi silver unit
000191 East_England Corieltauvi silver unit
000192 East_England Corieltauvi silver unit
000193 East_England Corieltauvi silver unit
000205 East_England Corieltauvi silver unit
000206 East_England Corieltauvi silver unit
000207 East_England Corieltauvi silver unit
000260 East_England Corieltauvi silver unit
000280 East_England Corieltauvi bronzecore stater
000286 East_England Corieltauvi gold quarterstater
000371 East_England Corieltauvi silver unit
000372 East_England Corieltauvi silver unit
000381 East_England Corieltauvi silver unit
000571 East_England Corieltauvi silver unit
000654 East_England Corieltauvi silver unit
000659 East_England Corieltauvi silver unit
000700 East_England Corieltauvi silver unit
000701 East_England Corieltauvi silver unit
000771 East_England Corieltauvi silver unit
000862 East_England Corieltauvi silver unit
000866 East_England Corieltauvi silver halfunit
000867 East_England Corieltauvi silver halfunit
000905 East_England Corieltauvi silver unit
001007 East_England Corieltauvi  
001055 East_England Corieltauvi silver unit
001150 East_England Corieltauvi bronzecore stater
001151 East_England Corieltauvi silver unit
001155 East_England Corieltauvi silver unit
001198 East_England Corieltauvi silver unit
001200 East_England Corieltauvi silver unit
001231 East_England Corieltauvi silver unit
001440 East_England Corieltauvi silver unit
001485 East_England Corieltauvi gold quarterstater
001521 East_England Corieltauvi silver unit
001737 East_England Corieltauvi silver unit
001872 East_England Corieltauvi silver unit
001873 East_England Corieltauvi gold quarterstater
001876 East_England Corieltauvi silver unit
001877 East_England Corieltauvi silver unit
001880 East_England Corieltauvi silver unit
001881 East_England Corieltauvi silver unit
001886 East_England Corieltauvi silver unit
001887 East_England Corieltauvi silver unit
001889 East_England Corieltauvi silver unit
001904 East_England Corieltauvi bronzecore stater
002008 East_England Corieltauvi silver unit
010131 East_England Corieltauvi silver unit
010240 East_England Corieltauvi bronze stater
010414 East_England Corieltauvi silver unit
010422 East_England Corieltauvi bronze stater
010495 East_England Corieltauvi silver halfunit
010531 East_England Corieltauvi silver unit
680037 East_England Corieltauvi silver halfunit
810089 East_England Corieltauvi gold unknown
820592 East_England Corieltauvi gold stater
820593 East_England Corieltauvi silver halfunit
820594 East_England Corieltauvi gold stater
840239 East_England Corieltauvi silver unit
900823 East_England Corieltauvi silver unit
900824 East_England Corieltauvi silver unit
910342 East_England Corieltauvi bronzecore stater
910546 East_England Corieltauvi bronzecore stater
920122 East_England Corieltauvi silver halfunit
920322 East_England Corieltauvi silver halfunit
920433 East_England Corieltauvi gold unknown
noimage100 East_England Corieltauvi gold stater
920612 East_England Corieltauvi silver unit
920661 East_England Corieltauvi gold unknown
920662 East_England Corieltauvi gold unknown
920663 East_England Corieltauvi gold unknown
920664 East_England Corieltauvi gold unknown
920665 East_England Corieltauvi gold unknown
921034 East_England Corieltauvi bronzecore stater
930097 East_England Corieltauvi silver minim
930098 East_England Corieltauvi silver minim
930099 East_England Corieltauvi silver minim
930295 East_England Corieltauvi silver unit
930345 East_England Corieltauvi gold quarterstater
930347 East_England Corieltauvi silver unit
930348 East_England Corieltauvi bronzecore stater
930481 East_England Corieltauvi gold unknown
930640 East_England Corieltauvi silver unit
930766 East_England Corieltauvi gold 
930767 East_England Corieltauvi gold 
930768 East_England Corieltauvi gold 
