id,region,tribe,metal,denomination
970817,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
961138,South_West_England,Durotriges,gold,stater
840176,South_West_England,Durotriges,gold,stater
611209,East_England,Iceni,silver,unit
720091,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
953645,East_England,Corieltauvi,gold,stater
951175,East_England,Corieltauvi,silver,unit
900892,South_of_the_Thames,Atrebates,bronze,unit
952155,East_England,Iceni,silver,unit
920788,East_England,Iceni,silver,unit
950366,East_England,Iceni,gold,stater
730442,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
000617,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,stater
820150,East_England,Corieltauvi,gold,stater
991345,South_of_the_Thames,Atrebates,gold,stater
941213,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
962353,South_of_the_Thames,Cantii,bronze,unit
971350,East_England,Corieltauvi,gold,quarterstater
720182,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
001891,East_England,Corieltauvi,gold,stater
961663,South_of_the_Thames,Atrebates,gold,stater
780071,South_of_the_Thames,Cantii,bronze,unit
950824,South_of_the_Thames,Atrebates,gold,stater
951840,East_England,Iceni,silver,unit
001622,East_England,Iceni,gold,quarterstater
620013,South_of_the_Thames,Atrebates,bronze,unit
611467,East_England,Iceni,silver,unit
980089,West_England,Dobunni,silver,unit
952274,East_England,Iceni,silver,unit
950551,East_England,Iceni,silver,unit
961593,East_England,Iceni,silver,unit
780072,South_of_the_Thames,Cantii,bronze,unit
991681,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
710040,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
790248,South_West_England,Durotriges,bronze,stater
920488,East_England,Iceni,silver,unit
720207,North_of_the_Thames,Trinovantes-Catuvellauni,silver,unit
952245,East_England,Iceni,silver,unit
940694,North_of_the_Thames,Trinovantes-Catuvellauni,silver,unit
610810,East_England,Iceni,silver,unit
990713,East_England,Iceni,silver,unit
790600,South_West_England,Durotriges,bronze,unit
710159,South_West_England,Durotriges,silver,stater
962503,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
720039,South_of_the_Thames,Atrebates,gold,stater
953906,South_West_England,Durotriges,silver,stater
960444,South_of_the_Thames,Atrebates,silver,unit
730761,South_of_the_Thames,Cantii,bronze,unit
941410,South_of_the_Thames,Atrebates,silver,unit
990821,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,quarterstater
000142,South_of_the_Thames,Atrebates,silver,unit
991586,East_England,Corieltauvi,silver,halfunit
941433,West_England,Dobunni,silver,unit
840624,South_West_England,Durotriges,bronze,stater
941220,South_West_England,Durotriges,bronze,stater
980613,North_of_the_Thames,Trinovantes-Catuvellauni,gold,quarterstater
970822,South_of_the_Thames,Atrebates,silver,unit
991381,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
950994,East_England,Iceni,gold,quarterstater
971554,South_of_the_Thames,Atrebates,silver,unit
860181,South_of_the_Thames,Atrebates,silver,unit
840250,South_of_the_Thames,Atrebates,gold,stater
991597,South_West_England,Durotriges,silver,stater
910165,South_West_England,Durotriges,gold,stater
990313,North_of_the_Thames,Trinovantes-Catuvellauni,silver,unit
640022,East_England,Corieltauvi,silver,halfunit
962469,South_of_the_Thames,Atrebates,gold,quarterstater
900670,South_of_the_Thames,Cantii,bronze,unit
680532,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
982005,North_of_the_Thames,Trinovantes-Catuvellauni,silver,unit
630146,East_England,Corieltauvi,gold,stater
870178,South_West_England,Durotriges,bronze,stater
010152,North_of_the_Thames,Trinovantes-Catuvellauni,gold,quarterstater
980297,West_England,Dobunni,silver,unit
982145,South_of_the_Thames,Atrebates,gold,quarterstater
971395,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
900101,South_of_the_Thames,Cantii,bronze,unit
830321,South_of_the_Thames,Atrebates,gold,quarterstater
920234,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,halfunit
960077,South_of_the_Thames,Atrebates,silver,unit
681877,South_West_England,Durotriges,silver,unit
860189,South_of_the_Thames,Atrebates,silver,minim
900285,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
680497,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
920605,South_of_the_Thames,Atrebates,gold,quarterstater
961985,East_England,Iceni,silver,unit
962651,South_of_the_Thames,Cantii,gold,stater
990509,East_England,Iceni,gold,stater
980075,South_of_the_Thames,Cantii,bronze,unit
961008,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
610833,East_England,Iceni,silver,unit
990864,East_England,Iceni,silver,unit
640061,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
820476,South_of_the_Thames,Cantii,bronze,unit
680212,North_of_the_Thames,Trinovantes-Catuvellauni,silver,unit
972313,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
700168,South_West_England,Durotriges,silver,stater
840660,West_England,Dobunni,silver,unit
963086,East_England,Iceni,silver,unit
941219,South_West_England,Durotriges,bronze,stater
940169,East_England,Iceni,silver,unit
971604,South_West_England,Durotriges,gold,stater
961260,East_England,Iceni,silver,unit
000130,East_England,Corieltauvi,silver,unit
620036,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
790303,South_West_England,Durotriges,bronze,stater
610130,South_of_the_Thames,Atrebates,gold,stater
951953,East_England,Iceni,silver,unit
610182,South_of_the_Thames,Atrebates,silver,minim
680183,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
680507,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
900278,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
970404,South_West_England,Durotriges,gold,stater
960374,South_of_the_Thames,Atrebates,silver,unit
681232,East_England,Iceni,silver,unit
971486,East_England,Iceni,gold,stater
910430,South_West_England,Durotriges,silver,minim
960266,South_of_the_Thames,Atrebates,gold,quarterstater
720085,North_of_the_Thames,Trinovantes-Catuvellauni,gold,stater
963323,East_England,Corieltauvi,silver,halfunit
941381,South_of_the_Thames,Atrebates,gold,stater
840699,East_England,Iceni,silver,unit
850094,South_of_the_Thames,Atrebates,gold,quarterstater
953021,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
950203,South_of_the_Thames,Cantii,bronze,unit
681874,South_West_England,Durotriges,silver,unit
991398,East_England,Iceni,silver,unit
610750,East_England,Iceni,silver,unit
920655,East_England,Iceni,silver,unit
953938,South_of_the_Thames,Atrebates,silver,unit
790561,South_West_England,Durotriges,bronze,unit
740104,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
991953,East_England,Iceni,silver,halfunit
840104,South_of_the_Thames,Cantii,bronze,unit
950263,South_of_the_Thames,Atrebates,silver,unit
010522,South_of_the_Thames,Cantii,gold,quarterstater
970570,South_West_England,Durotriges,gold,stater
670454,East_England,Iceni,silver,unit
900011,East_England,Iceni,gold,stater
730616,South_West_England,Durotriges,gold,stater
710016,East_England,Corieltauvi,gold,stater
780060,North_of_the_Thames,Trinovantes-Catuvellauni,gold,quarterstater
930430,East_England,Iceni,silver,unit
611015,East_England,Iceni,silver,unit
001625,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
870673,East_England,Iceni,silver,unit
950396,East_England,Iceni,gold,stater
681213,East_England,Iceni,silver,unit
951367,East_England,Corieltauvi,silver,unit
681157,South_of_the_Thames,Cantii,bronze,unit
810080,South_of_the_Thames,Cantii,silver,unit
690328,South_of_the_Thames,Atrebates,silver,unit
780001,West_England,Dobunni,silver,unit
951765,East_England,Iceni,silver,unit
920464,East_England,Iceni,silver,unit
962512,North_of_the_Thames,Trinovantes-Catuvellauni,gold,quarterstater
890223,South_West_England,Durotriges,bronze,stater
951044,East_England,Iceni,silver,unit
930567,North_of_the_Thames,Trinovantes-Catuvellauni,bronze,unit
880014,South_of_the_Thames,Cantii,bronze,unit
660022,West_England,Dobunni,gold,stater
610882,East_England,Iceni,silver,unit
960303,South_of_the_Thames,Atrebates,silver,unit
